Frame,Preprocess (ms),Inference (ms),Postprocess (ms)
554,4.62,36.83,5.40
555,4.40,37.50,5.66
556,4.55,39.02,5.70
557,4.66,39.62,5.57
558,4.71,40.19,5.57
559,4.40,37.60,5.65
560,4.54,39.19,5.73
561,4.67,40.85,5.62
562,4.69,39.70,5.49
563,4.35,36.66,5.63
564,4.56,39.03,5.72
565,4.73,40.64,5.71
566,4.37,37.38,5.75
567,4.55,39.03,5.64
568,4.69,40.60,5.84
569,4.71,39.33,5.76
570,4.41,37.56,5.81
571,4.57,39.33,5.98
572,4.72,39.67,5.99
573,4.66,39.60,6.27
574,4.71,39.83,6.22
575,4.66,39.65,6.41
576,4.65,37.92,5.91
577,4.50,38.00,6.01
578,4.71,39.61,5.91
579,4.42,37.58,5.93
580,4.67,39.62,6.01
581,4.64,38.83,5.76
582,4.43,37.71,5.75
583,4.66,41.21,6.06
584,4.68,39.80,5.79
585,4.43,37.19,5.85
586,4.55,39.10,6.00
587,4.67,39.61,5.80
588,4.39,37.49,5.85
589,4.57,40.85,5.87
590,4.68,39.74,5.83
591,4.69,38.20,5.61
592,4.35,37.76,5.79
593,4.55,39.05,5.74
594,4.67,41.10,5.95
595,4.70,36.46,5.58
596,4.36,39.36,5.90
597,4.59,39.18,5.68
598,4.67,40.83,5.50
599,4.70,36.35,5.44
600,4.39,37.75,5.57
601,4.54,39.07,5.75
602,4.69,39.86,5.58
603,4.64,39.64,5.45
604,4.37,37.45,5.46
605,4.54,39.09,5.53
606,4.93,39.82,5.66
607,4.70,40.98,5.59
608,4.39,37.55,5.72
609,4.61,39.02,5.63
610,4.66,39.85,5.71
611,4.65,40.35,5.41
612,4.42,37.28,5.56
613,4.56,39.10,5.62
614,4.93,39.83,5.63
615,4.72,39.60,5.43
616,4.43,37.48,5.64
617,4.58,39.06,5.73
618,4.71,39.56,5.85
619,4.69,40.46,5.73
620,4.39,39.20,5.80
621,4.58,39.50,5.83
622,4.67,39.68,5.86
623,4.65,39.55,5.85
624,4.75,38.73,5.81
625,4.38,37.62,6.10
626,4.70,39.57,5.94
627,4.68,38.02,5.78
628,4.36,37.79,6.61
629,4.71,39.89,6.64
630,4.70,39.64,6.35
631,4.64,39.62,6.30
632,4.68,37.54,5.85
633,4.37,37.99,5.98
634,4.75,39.61,6.04
635,4.70,37.36,5.64
636,4.41,37.94,5.82
637,4.55,39.57,5.82
638,4.67,39.67,5.91
639,4.67,40.92,5.92
640,4.70,38.13,5.50
641,4.35,37.59,5.56
642,4.51,39.16,5.65
643,4.69,39.64,5.69
644,4.65,39.60,5.61
645,4.34,39.26,5.79
646,4.58,40.79,5.82
647,4.66,39.77,5.56
648,4.66,38.10,5.46
649,4.38,37.59,5.55
650,4.52,38.95,5.57
651,4.64,39.72,5.60
652,4.65,39.72,5.68
653,4.32,37.42,5.85
654,4.54,40.80,5.72
655,4.69,39.77,5.84
656,4.75,39.78,5.65
657,4.39,39.15,6.13
658,4.70,39.81,5.93
659,4.70,39.33,5.73
660,4.41,37.82,5.92
661,4.56,39.45,6.27
662,4.70,38.43,5.85
663,4.37,37.82,6.12
664,4.71,39.67,6.29
665,4.72,39.70,6.25
666,4.65,36.59,5.76
667,4.41,38.02,5.95
668,4.67,39.68,6.02
669,4.88,38.34,5.69
670,4.37,37.63,5.73
671,4.61,39.66,5.75
672,4.68,39.64,5.68
673,4.39,39.22,5.76
674,4.57,40.59,5.74
675,4.67,40.02,5.66
676,4.73,38.92,5.48
677,4.34,37.46,5.51
678,4.58,39.12,5.61
679,4.65,39.65,1.47
680,5.16,39.65,5.61
681,4.69,39.18,5.41
682,4.38,37.28,5.59
683,4.55,40.74,5.67
684,4.69,39.77,5.70
685,4.66,39.66,5.47
686,4.39,37.45,5.64
687,4.55,40.82,5.76
688,4.68,39.83,6.40
689,4.72,38.11,5.37
690,4.37,37.70,5.56
691,4.59,40.64,5.71
692,4.77,39.77,5.69
693,4.71,38.95,5.44
694,4.36,37.77,5.56
695,4.55,39.18,5.63
696,4.67,40.68,5.93
697,4.69,39.39,5.57
698,4.41,39.18,5.90
699,4.56,39.07,5.74
700,4.65,40.69,5.81
701,4.68,37.11,5.60
702,4.38,37.62,5.79
703,4.58,40.71,5.86
704,4.67,39.79,5.88
705,4.67,40.84,5.96
706,4.69,39.02,5.68
707,4.36,37.65,5.72
708,4.56,40.83,5.91
709,4.71,39.74,5.83
710,4.69,39.60,5.75
711,4.69,39.02,5.67
712,4.42,37.70,5.96
713,4.55,39.30,5.95
714,4.69,39.57,5.98
715,4.69,40.34,6.66
716,4.70,40.72,6.65
717,4.70,39.82,6.67
718,4.69,39.60,6.39
719,4.65,37.47,5.81
720,4.35,37.78,5.99
721,4.70,39.57,6.27
722,4.67,36.99,5.80
723,4.38,37.72,5.87
724,4.66,39.65,5.78
725,4.61,38.52,5.84
726,4.39,37.77,5.63
727,4.56,39.29,5.86
728,4.65,39.63,5.74
729,5.08,41.09,5.81
730,4.92,39.77,5.58
731,4.62,37.63,5.56
732,4.80,39.34,5.67
