Frame, Inference_Time(ms), CPU(%), RAM(MB), GPU_Mem(MB)
421, 11.81, 22.2, 3101.81, 52.39
422, 12.07, 27.8, 3101.64, 52.39
423, 11.70, 25.0, 3101.64, 52.39
424, 12.03, 30.0, 3101.64, 52.39
425, 11.91, 31.6, 3101.89, 52.39
426, 11.94, 31.8, 3101.89, 52.39
427, 12.42, 26.3, 3101.89, 52.39
428, 11.86, 21.1, 3101.97, 52.39
429, 11.91, 28.6, 3101.97, 52.39
430, 11.63, 31.8, 3101.97, 52.39
431, 11.52, 22.2, 3101.97, 52.39
432, 11.71, 26.3, 3101.97, 52.39
433, 13.67, 25.0, 3101.97, 52.39
434, 11.65, 27.8, 3102.05, 52.39
435, 11.61, 21.1, 3102.05, 52.39
436, 11.77, 26.3, 3102.05, 52.39
437, 11.61, 26.3, 3102.05, 52.39
438, 11.91, 26.3, 3102.05, 52.39
439, 11.75, 26.3, 3101.88, 52.39
440, 11.75, 26.3, 3101.88, 52.39
441, 11.65, 28.6, 3101.88, 52.39
442, 11.75, 21.1, 3101.88, 52.39
443, 11.56, 26.3, 3101.88, 52.39
444, 11.63, 30.0, 3101.88, 52.39
445, 11.59, 22.2, 3101.88, 52.39
446, 11.76, 31.6, 3101.25, 52.39
447, 12.57, 22.2, 3101.25, 52.39
448, 11.83, 26.3, 3101.25, 52.39
449, 11.76, 30.0, 3101.25, 52.39
450, 11.74, 21.1, 3101.25, 52.39
451, 11.61, 26.3, 3101.08, 52.39
452, 11.77, 26.3, 3101.01, 52.39
453, 11.66, 22.2, 3101.01, 52.39
454, 11.78, 22.2, 3101.01, 52.39
455, 12.44, 28.6, 3101.99, 52.39
456, 12.06, 33.3, 3102.24, 52.39
457, 11.62, 25.0, 3102.07, 52.39
458, 11.79, 25.0, 3102.07, 52.39
459, 11.72, 28.6, 3102.07, 52.39
460, 11.99, 31.8, 3102.07, 52.39
461, 11.66, 26.3, 3102.07, 52.39
462, 11.83, 26.3, 3101.96, 52.39
463, 11.64, 25.0, 3101.72, 52.39
464, 11.95, 33.3, 3101.72, 52.39
465, 12.70, 21.1, 3101.72, 52.39
466, 12.17, 25.0, 3101.72, 52.39
467, 11.98, 26.3, 3101.72, 52.39
468, 12.13, 26.3, 3101.72, 52.39
469, 11.69, 30.0, 3101.55, 52.39
470, 11.99, 23.5, 3101.55, 52.39
471, 11.79, 26.3, 3101.55, 52.39
472, 11.70, 25.0, 3101.55, 52.39
473, 11.69, 22.2, 3101.55, 52.39
474, 12.02, 26.3, 3101.55, 52.39
475, 12.21, 25.0, 3101.39, 52.39
476, 12.03, 23.8, 3101.24, 52.39
477, 11.79, 26.3, 3101.24, 52.39
478, 11.80, 26.3, 3101.24, 52.39
479, 11.66, 30.0, 3101.24, 52.39
480, 11.90, 22.2, 3101.24, 52.39
481, 11.65, 26.3, 3101.24, 52.39
482, 11.67, 22.2, 3100.94, 52.39
483, 11.57, 30.0, 3100.94, 52.39
484, 11.83, 28.6, 3100.94, 52.39
485, 11.69, 21.1, 3100.94, 52.39
486, 12.67, 42.9, 3101.43, 52.39
487, 11.55, 26.3, 3101.43, 52.39
488, 11.80, 21.1, 3101.76, 52.39
489, 11.57, 26.3, 3101.76, 52.39
490, 11.73, 26.3, 3101.76, 52.39
491, 11.70, 30.0, 3101.76, 52.39
492, 11.73, 21.1, 3101.76, 52.39
493, 11.69, 25.0, 3101.84, 52.39
494, 11.83, 31.6, 3101.84, 52.39
495, 11.73, 26.3, 3101.84, 52.39
496, 11.86, 28.6, 3101.84, 52.39
497, 14.12, 28.6, 3101.84, 52.39
498, 11.87, 21.1, 3101.84, 52.39
499, 11.70, 26.3, 3101.75, 52.39
500, 11.81, 26.3, 3101.75, 52.39
501, 11.83, 26.3, 3101.75, 52.39
502, 11.92, 28.6, 3101.75, 52.39
503, 11.70, 26.3, 3101.75, 52.39
504, 11.88, 28.6, 3101.75, 52.39
505, 11.76, 21.1, 3101.82, 52.39
506, 11.79, 26.3, 3101.82, 52.39
507, 11.69, 21.1, 3101.64, 52.39
508, 11.82, 21.1, 3101.62, 52.39
509, 11.72, 28.6, 3101.62, 52.39
510, 11.76, 21.1, 3101.70, 52.39
511, 12.01, 25.0, 3101.70, 52.39
512, 11.46, 33.3, 3101.62, 52.39
513, 11.58, 26.3, 3101.62, 52.39
514, 11.57, 30.0, 3101.62, 52.39
515, 11.71, 30.0, 3101.62, 52.39
516, 11.85, 26.3, 3101.46, 52.39
517, 11.90, 35.0, 3102.64, 52.39
518, 11.77, 33.3, 3102.64, 52.39
519, 11.72, 28.6, 3102.64, 52.39
520, 11.70, 36.4, 3102.62, 52.39
521, 11.68, 25.0, 3102.70, 52.39
522, 11.71, 26.3, 3102.70, 52.39
523, 11.68, 30.0, 3102.70, 52.39
524, 11.62, 26.3, 3102.70, 52.39
525, 11.52, 30.0, 3102.70, 52.39
526, 11.59, 26.3, 3102.70, 52.39
527, 11.68, 21.1, 3102.61, 52.39
528, 11.55, 26.3, 3102.61, 52.39
529, 11.63, 30.0, 3102.61, 52.39
530, 11.67, 23.5, 3102.61, 52.39
531, 11.59, 30.0, 3102.61, 52.39
532, 11.74, 33.3, 3102.93, 52.39
533, 11.68, 22.2, 3102.93, 52.39
534, 11.68, 30.0, 3102.93, 52.39
535, 11.71, 26.3, 3102.93, 52.39
536, 11.68, 22.2, 3102.93, 52.39
537, 11.81, 33.3, 3102.93, 52.39
538, 11.57, 28.6, 3102.52, 52.39
539, 11.80, 26.3, 3102.52, 52.39
540, 11.68, 28.6, 3102.52, 52.39
541, 11.78, 30.0, 3102.52, 52.39
542, 11.62, 26.3, 3102.52, 52.39
543, 11.80, 21.1, 3102.52, 52.39
544, 11.73, 27.3, 3102.52, 52.39
545, 11.74, 22.2, 3102.35, 52.39
546, 11.84, 28.6, 3102.35, 52.39
547, 11.86, 36.8, 3102.35, 52.39
